000001,PAB,1991-04-03,"19,405,918,198","19,405,513,424",J Finance,N,-,-,-
000002,VANKE-A,1991-01-29,"9,724,196,533","9,716,935,865",K Real Estate,N,-,-,-
000004,GH-TECH,1990-12-01,"132,380,282","126,288,093",I IT,N,-,-,-
000005,FOUNTAIN,1990-12-10,"1,058,536,842","1,057,875,742",N Environmental Protection,N,-,-,-
000006,ZHENYE,1992-04-27,"1,349,995,046","1,349,987,396",K Real Estate,N,-,-,-
000007,QUANXINHAO,1992-04-13,"346,448,044","308,948,044",K Real Estate,N,-,-,-
000008,CHSR,1992-05-07,"2,716,377,683","2,686,024,366",C Manufacturing,N,-,-,-
000009,CBG,1991-06-25,"2,579,213,965","2,551,430,324",J Finance,N,-,-,-
000010,ECOBEAUTY,1995-10-27,"1,149,652,292","522,171,498",E Construction,N,-,-,-
000011,PRD,1992-03-30,"528,373,849","526,475,543",K Real Estate,N,-,-,-
000012,CSG,1992-02-28,"1,961,323,047","1,959,279,645",C Manufacturing,N,-,-,-
000014,SHAHE INDUSTRY,1992-06-02,"242,046,224","242,046,224",K Real Estate,N,-,-,-
000016,KONKA GROUP,1992-03-27,"1,596,593,800","1,596,593,800",C Manufacturing,N,-,-,-
000017,CBC,1992-03-31,"440,821,951","302,984,965",C Manufacturing,N,-,-,-
000019,SHENLIANGKONGGU,1992-10-12,"1,100,785,974","416,216,407",F Wholesale & Retail,N,-,-,-
000020,HUAFA,1992-04-28,"181,165,391","181,165,391",C Manufacturing,N,-,-,-
000021,KAIFA,1994-02-02,"1,560,587,588","1,560,123,713",C Manufacturing,N,-,-,-
000023,UNIVERSE,1993-04-29,"138,756,240","138,756,240",C Manufacturing,N,-,-,-
000025,TELLUS,1993-06-21,"392,778,320","392,778,320",F Wholesale & Retail,N,-,-,-
000026,FIYTA,1993-06-03,"365,283,273","362,707,353",F Wholesale & Retail,N,-,-,-
000027,SEIC,1993-09-03,"4,757,389,916","4,757,389,916",D Utilities,N,-,-,-
000028,SINOPHARM ACCORD,1993-08-09,"485,213,797","478,053,712",F Wholesale & Retail,N,-,-,-
000029,SPG,1993-09-15,"891,660,000","891,652,375",K Real Estate,N,-,-,-
000030,FAWER,1993-09-29,"1,693,824,170","1,692,261,961",C Manufacturing,N,-,-,-
000031,GRANDJOY,1993-10-08,"4,286,313,339","4,002,884,290",K Real Estate,N,-,-,-
000032,SED,1993-10-28,"1,137,959,234","644,763,811",E Construction,N,-,-,-
000034,DIGITAL CHINA,1994-05-09,"669,581,480","550,836,626",F Wholesale & Retail,N,-,-,-
000035,CHINA TIANYING,1994-04-08,"2,523,777,297","2,449,453,201",N Environmental Protection,N,-,-,-
000036,UDC,1994-06-17,"1,483,934,025","1,480,132,047",K Real Estate,N,-,-,-
000037,NSRD,1994-07-01,"338,908,150","338,874,456",D Utilities,N,-,-,-
000039,CIMC,1994-04-08,"2,302,682,490","2,301,407,141",C Manufacturing,N,-,-,-
000040,DXLT,1994-08-08,"1,486,873,870","1,060,340,670",D Utilities,N,-,-,-
000042,CENTRALCON HOLDING,1994-09-21,"664,831,139","664,004,077",K Real Estate,N,-,-,-
000045,STHC,1994-08-15,"457,021,849","457,021,849",C Manufacturing,N,-,-,-
000048,KINGKEY SMART AGRI,1994-11-01,"530,569,250","523,239,250",A Agriculture,N,-,-,-
000049,DESAYBATTERY,1995-03-20,"384,638,534","384,497,163",C Manufacturing,N,-,-,-
000050,TIANMA,1995-03-15,"2,457,747,661","2,375,794,164",C Manufacturing,N,-,-,-
000055,FANGDA GROUP,1996-04-15,"679,715,472","675,854,429",C Manufacturing,N,-,-,-
000056,WTGJ,1996-07-08,"966,853,708","903,728,783",L Business Support,N,-,-,-
000058,SEGCL,1996-12-26,"984,739,354","984,711,604",L Business Support,N,-,-,-
000059,"HUAJIN CO.,LTD",1997-01-30,"1,599,442,537","1,599,382,537",C Manufacturing,N,-,-,-
000060,NONFEMET,1997-01-23,"3,737,590,181","3,737,314,556",C Manufacturing,N,-,-,-
000061,SZAP,1997-01-10,"1,696,964,131","1,696,933,006",L Business Support,N,-,-,-
000062,HUAQIANG INDUSTRY,1997-01-30,"1,045,909,322","1,044,547,851",F Wholesale & Retail,N,-,-,-
000063,ZTE,1997-11-18,"4,027,749,018","4,027,090,375",C Manufacturing,N,-,-,-
000065,NORINCO INTERNATIONA,1998-06-05,"1,002,023,201","905,599,615",F Wholesale & Retail,N,-,-,-
000066,CGT GROUP,1997-06-26,"3,225,799,088","3,146,793,277",C Manufacturing,N,-,-,-
000068,HUAKONG SEG,1997-06-11,"1,006,671,464","1,006,671,464",M Research & Development,N,-,-,-
000069,OCT HOLDING,1997-09-10,"8,037,758,053","6,895,014,207",K Real Estate,N,-,-,-
000070,SDGI,2000-05-11,"900,344,760","888,596,176",C Manufacturing,N,-,-,-
000078,NEPTUNUS,1998-12-18,"2,750,833,257","2,626,448,638",F Wholesale & Retail,N,-,-,-
000088,YANTIAN PORT,1997-07-28,"4,285,724,351","2,249,135,473",G Transportation,N,-,-,-
000089,SACL,1998-04-20,"2,050,769,509","2,050,742,403",G Transportation,N,-,-,-
000090,TAGEN,1999-07-21,"1,868,545,434","1,868,459,934",E Construction,N,-,-,-
000096,GJNY,2000-07-24,"528,000,000","510,848,000",F Wholesale & Retail,N,-,-,-
000099,COHC,2000-07-31,"775,770,137","710,215,136",G Transportation,N,-,-,-
000100,TCL TECH.,2004-01-30,"18,779,080,767","18,098,916,551",C Manufacturing,N,-,-,-
000151,COMPLANT-LTD,2000-09-06,"337,370,728","266,543,967",F Wholesale & Retail,N,-,-,-
000153,FENGYUAN PHARMACEUTI,2000-09-20,"332,026,230","319,152,730",C Manufacturing,N,-,-,-
000155,CNDL,2000-09-26,"1,475,926,818","1,296,926,720",D Utilities,N,-,-,-
000156,WASU,2000-09-06,"1,852,932,442","1,624,600,295",I IT,N,-,-,-
000157,ZOOMLION CO. LTD.,2000-10-12,"7,096,027,688","7,070,510,063",C Manufacturing,N,-,-,-
000158,CSBM,2000-07-24,"1,598,616,721","1,587,815,935",I IT,N,-,-,-
000159,XIIC,2000-09-26,"480,685,993","480,587,143",F Wholesale & Retail,N,-,-,-
000166,SWHY,2015-01-26,"22,535,944,560","22,535,507,316",J Finance,N,-,-,-
000301,EASTERN SHENGHONG,2000-05-29,"6,611,214,278","5,497,011,380",C Manufacturing,N,-,-,-
000333,MIDEA GROUP,2013-09-18,"6,970,914,838","6,838,304,848",C Manufacturing,N,-,-,-
000338,WEICHAI POWER,2007-04-30,"6,783,516,821","4,971,707,516",C Manufacturing,N,-,-,-
000400,XJEC,1997-04-18,"1,019,009,309","1,008,322,059",C Manufacturing,N,-,-,-
000401,JIDONG CEMENT,1996-06-14,"2,658,214,783","1,547,299,483",C Manufacturing,N,-,-,-
000402,FINANCIAL STREET,1996-06-26,"2,988,929,907","2,988,275,902",K Real Estate,N,-,-,-
000403,PLBIO,1996-06-28,"732,786,558","681,205,192",C Manufacturing,N,-,-,-
000404,CHHY,1996-06-19,"695,995,979","693,650,147",C Manufacturing,N,-,-,-
000407,SDSL,1996-07-03,"880,084,656","875,766,437",D Utilities,N,-,-,-
000408,ZANGGE MINING,1996-06-28,"1,580,435,073","1,580,418,573",C Manufacturing,N,-,-,-
000409,YUNDING TECH,1996-06-27,"676,350,505","423,371,995",I IT,N,-,-,-
000410,SMTCL,1996-07-18,"2,064,746,603","1,680,915,944",C Manufacturing,N,-,-,-
000411,INT'L GROUP,1996-07-16,"522,145,920","320,540,606",F Wholesale & Retail,N,-,-,-
000413,DONGXU OPTOELECTRONI,1996-09-25,"5,382,749,947","5,029,350,156",C Manufacturing,N,-,-,-
000415,BOHAI LEASING,1996-07-16,"6,184,521,282","5,392,741,760",L Business Support,N,-,-,-
000416,MINSHENG HOLDINGS,1996-07-19,"531,871,494","531,627,879",J Finance,N,-,-,-
000417,HFBH,1996-08-12,"779,884,200","779,027,451",F Wholesale & Retail,N,-,-,-
